#;Nazwa;Solo;Rankingowa elastyczna;Kolumna1;Kolumna2
1.;"Snoopy 
EUNE (#1)";Challenger 1686 LPWygrane: 165 (60.9%);Platyna IWygrane: 10 (45.5%);(60.9%);60.9
2.;"Túróstészta 
EUNE (#2)";Challenger 1653 LPWygrane: 167 (60.9%);;(60.9%);60.9
3.;"I am Sobek 
EUNE (#3)";Challenger 1586 LPWygrane: 337 (54.7%);Challenger 1102 LPWygrane: 154 (66.7%);(54.7%);54.7
4.;"Dealersz R1 
EUNE (#4)";Challenger 1582 LPWygrane: 209 (56.8%);;(56.8%);56.8
5.;"IGNITE SUPP PLS 
EUNE (#5)";Challenger 1548 LPWygrane: 188 (59.3%);Master 232 LPWygrane: 89 (61.0%);(59.3%);59.3
6.;"RipMrAdc 
EUNE (#6)";Challenger 1439 LPWygrane: 238 (57.1%);Diament IWygrane: 55 (57.9%);(57.1%);57.1
7.;"macro 
EUNE (#7)";Challenger 1406 LPWygrane: 334 (54.5%);Platyna IWygrane: 28 (58.3%);(54.5%);54.5
8.;"TheBlackPrince 
EUNE (#8)";Challenger 1392 LPWygrane: 123 (61.5%);Platyna IWygrane: 15 (60.0%);(61.5%);61.5
9.;"Litny 
EUNE (#9)";Challenger 1376 LPWygrane: 257 (54.3%);;(54.3%);54.3
10.;"PetesAdoptedSon 
EUNE (#10)";Challenger 1376 LPWygrane: 140 (63.6%);;(63.6%);63.6
11.;"Ambis 
EUNE (#11)";Challenger 1367 LPWygrane: 193 (55.8%);Diament IWygrane: 38 (61.3%);(55.8%);55.8
12.;"Jg diff bitsh 
EUNE (#12)";Challenger 1345 LPWygrane: 396 (53.6%);Złoto IIWygrane: 5 (45.5%);(53.6%);53.6
13.;"RobinTheLegend 
EUNE (#13)";Challenger 1325 LPWygrane: 150 (59.5%);Master 130 LPWygrane: 82 (46.3%);(59.5%);59.5
14.;"Thë Nïghtfäłł 
EUNE (#14)";Challenger 1308 LPWygrane: 209 (56.6%);;(56.6%);56.6
15.;"Twitter Jinksuwu 
EUNE (#15)";Challenger 1305 LPWygrane: 163 (52.9%);;(52.9%);52.9
16.;"asnidkooopp 
EUNE (#16)";Challenger 1270 LPWygrane: 103 (67.8%);;(67.8%);67.8
17.;"TheZanke 
EUNE (#17)";Challenger 1219 LPWygrane: 328 (53.5%);Diament IVWygrane: 20 (60.6%);(53.5%);53.5
18.;"sαndwich 
EUNE (#18)";Challenger 1202 LPWygrane: 342 (52.9%);Master 117 LPWygrane: 97 (61.8%);(52.9%);52.9
19.;"god complex ζ 
EUNE (#19)";Challenger 1202 LPWygrane: 264 (53.8%);;(53.8%);53.8
20.;"Kaneki Kunn 
EUNE (#20)";Challenger 1199 LPWygrane: 144 (62.1%);Srebro IVWygrane: 11 (100.0%);(62.1%);62.1
21.;"Komb 
EUNE (#21)";Challenger 1195 LPWygrane: 133 (55.9%);Złoto IIWygrane: 23 (95.8%);(55.9%);55.9
22.;"is this gosu 
EUNE (#22)";Challenger 1192 LPWygrane: 414 (52.7%);;(52.7%);52.7
23.;"PiesNaBaby228 
EUNE (#23)";Challenger 1186 LPWygrane: 180 (56.1%);Master 182 LPWygrane: 53 (59.6%);(56.1%);56.1
24.;"hhhh eune ape 
EUNE (#24)";Challenger 1171 LPWygrane: 244 (55.2%);Platyna IVWygrane: 69 (53.1%);(55.2%);55.2
25.;"Aivis rank 1 
EUNE (#25)";Challenger 1170 LPWygrane: 247 (55.6%);;(55.6%);55.6
26.;"Madison 3 
EUNE (#26)";Challenger 1167 LPWygrane: 227 (54.4%);Platyna IVWygrane: 10 (58.8%);(54.4%);54.4
27.;"Trap40 
EUNE (#27)";Challenger 1163 LPWygrane: 215 (53.9%);;(53.9%);53.9
28.;"Boots of Speed 
EUNE (#28)";Challenger 1162 LPWygrane: 189 (54.5%);;(54.5%);54.5
29.;"Riwoopz 
EUNE (#29)";Challenger 1139 LPWygrane: 249 (54.0%);Diament IIWygrane: 62 (49.6%);(54.0%);54.0
30.;"Audire 
EUNE (#30)";Challenger 1137 LPWygrane: 146 (53.9%);;(53.9%);53.9
31.;"Ape Shaped 
EUNE (#31)";Challenger 1134 LPWygrane: 158 (56.4%);Złoto IIWygrane: 6 (46.2%);(56.4%);56.4
32.;"TwTv Tjockpung 
EUNE (#32)";Challenger 1128 LPWygrane: 118 (60.8%);;(60.8%);60.8
33.;"S α N N Y 
EUNE (#33)";Challenger 1118 LPWygrane: 306 (53.7%);Platyna IVWygrane: 16 (61.5%);(53.7%);53.7
34.;"MENTAL SIT DOWN 
EUNE (#34)";Challenger 1111 LPWygrane: 199 (54.1%);Diament IWygrane: 60 (67.4%);(54.1%);54.1
35.;"MatoLUL 
EUNE (#35)";Challenger 1102 LPWygrane: 194 (55.0%);Diament IWygrane: 78 (66.1%);(55.0%);55.0
36.;"ZΦDIΛC 
EUNE (#36)";Challenger 1084 LPWygrane: 198 (54.2%);Diament IWygrane: 35 (67.3%);(54.2%);54.2
37.;"Razwen 
EUNE (#37)";Challenger 1083 LPWygrane: 187 (54.5%);;(54.5%);54.5
38.;"hsuK retrograde 
EUNE (#38)";Challenger 1081 LPWygrane: 260 (53.2%);;(53.2%);53.2
39.;"AEROSTHETICS 
EUNE (#39)";Challenger 1073 LPWygrane: 152 (58.5%);Challenger 1282 LPWygrane: 183 (65.4%);(58.5%);58.5
40.;"SanSiroBro 
EUNE (#40)";Challenger 1066 LPWygrane: 197 (53.4%);Platyna IWygrane: 43 (59.7%);(53.4%);53.4
41.;"Jannator 
EUNE (#41)";Challenger 1048 LPWygrane: 221 (55.0%);Platyna IIIWygrane: 50 (49.5%);(55.0%);55.0
42.;"Scυba 
EUNE (#42)";Challenger 1042 LPWygrane: 102 (65.4%);;(65.4%);65.4
43.;"Küba 
EUNE (#43)";Challenger 1038 LPWygrane: 106 (62.0%);Srebro IIWygrane: 48 (48.5%);(62.0%);62.0
44.;"Pinggwin 
EUNE (#44)";Challenger 1032 LPWygrane: 217 (56.7%);Challenger 588 LPWygrane: 152 (51.9%);(56.7%);56.7
45.;"Tomara 
EUNE (#45)";Challenger 1031 LPWygrane: 244 (53.5%);;(53.5%);53.5
46.;"berryrasp 
EUNE (#46)";Challenger 1022 LPWygrane: 124 (55.9%);Challenger 1144 LPWygrane: 168 (65.4%);(55.9%);55.9
47.;"Venux1221 
EUNE (#47)";Challenger 1017 LPWygrane: 257 (54.1%);Diament IWygrane: 118 (49.6%);(54.1%);54.1
48.;"Patkány 
EUNE (#48)";Challenger 1014 LPWygrane: 282 (52.3%);;(52.3%);52.3
49.;"112 
EUNE (#49)";Challenger 1013 LPWygrane: 141 (55.1%);Platyna IIWygrane: 28 (75.7%);(55.1%);55.1
50.;"krìsty 
EUNE (#50)";Challenger 1008 LPWygrane: 172 (53.4%);Złoto IIWygrane: 5 (35.7%);(53.4%);53.4
51.;"TTVlateroviann99 
EUNE (#51)";Challenger 1002 LPWygrane: 218 (53.0%);Platyna IWygrane: 7 (70.0%);(53.0%);53.0
52.;"eune minion 
EUNE (#52)";Challenger 993 LPWygrane: 178 (55.1%);GrandMaster 517 LPWygrane: 163 (60.8%);55.1%);55.1
53.;"Αshura 
EUNE (#53)";Challenger 992 LPWygrane: 120 (56.1%);Diament IWygrane: 47 (71.2%);56.1%);56.1
54.;"gapu alkaida acc 
EUNE (#54)";Challenger 987 LPWygrane: 117 (50.9%);;50.9%);50.9
55.;"egirl lover69 
EUNE (#55)";Challenger 983 LPWygrane: 271 (55.1%);Master 0 LPWygrane: 46 (68.7%);55.1%);55.1
56.;"KRILINEEE 
EUNE (#56)";Challenger 978 LPWygrane: 193 (53.9%);Diament IIWygrane: 37 (50.0%);53.9%);53.9
57.;"xlnt 
EUNE (#57)";Challenger 968 LPWygrane: 214 (53.2%);;53.2%);53.2
58.;"Aufpassen 
EUNE (#58)";Challenger 968 LPWygrane: 167 (55.1%);Diament IWygrane: 72 (52.9%);55.1%);55.1
59.;"VIP Nightbringer 
EUNE (#59)";Challenger 961 LPWygrane: 141 (56.9%);Platyna IWygrane: 17 (35.4%);56.9%);56.9
60.;"Ręx 
EUNE (#60)";Challenger 960 LPWygrane: 263 (53.0%);;53.0%);53.0
61.;"ˇSung Jin Wooˇ 
EUNE (#61)";Challenger 952 LPWygrane: 210 (54.4%);Platyna IWygrane: 22 (48.9%);54.4%);54.4
62.;"edru zeus acc 
EUNE (#62)";Challenger 942 LPWygrane: 122 (55.5%);;55.5%);55.5
63.;"bozo 46 
EUNE (#63)";Challenger 939 LPWygrane: 158 (57.2%);GrandMaster 425 LPWygrane: 155 (53.6%);57.2%);57.2
64.;"AdamHD 
EUNE (#64)";Challenger 924 LPWygrane: 195 (53.9%);Diament IIWygrane: 37 (66.1%);53.9%);53.9
65.;"SlowSnail 
EUNE (#65)";Challenger 915 LPWygrane: 319 (52.1%);Diament IIWygrane: 28 (45.2%);52.1%);52.1
66.;"Andrew16 
EUNE (#66)";Challenger 914 LPWygrane: 176 (57.5%);Srebro IIWygrane: 11 (64.7%);57.5%);57.5
67.;"Ur ugly 
EUNE (#67)";Challenger 912 LPWygrane: 149 (56.2%);;56.2%);56.2
68.;"Shetanin 
EUNE (#68)";Challenger 906 LPWygrane: 544 (52.0%);Diament IWygrane: 135 (52.1%);52.0%);52.0
69.;"lepsi vyhral XD 
EUNE (#69)";Challenger 903 LPWygrane: 244 (52.7%);;52.7%);52.7
70.;"ccp 2049 
EUNE (#70)";Challenger 890 LPWygrane: 287 (52.5%);Złoto IWygrane: 24 (72.7%);52.5%);52.5
71.;"Σατανας 
EUNE (#71)";Challenger 890 LPWygrane: 182 (56.7%);Diament IIIWygrane: 72 (43.9%);56.7%);56.7
72.;"BG Nelson 
EUNE (#72)";Challenger 883 LPWygrane: 350 (53.0%);Platyna IWygrane: 39 (45.9%);53.0%);53.0
73.;"ALTEEk 
EUNE (#73)";Challenger 881 LPWygrane: 317 (53.4%);Diament IIWygrane: 53 (53.0%);53.4%);53.4
74.;"Emperor Of Dèath 
EUNE (#74)";Challenger 877 LPWygrane: 199 (53.9%);Challenger 637 LPWygrane: 210 (60.3%);53.9%);53.9
75.;"its ok ure ok 
EUNE (#75)";Challenger 877 LPWygrane: 129 (60.8%);Platyna IVWygrane: 29 (82.9%);60.8%);60.8
76.;"Buu 
EUNE (#76)";Challenger 875 LPWygrane: 94 (59.9%);;9.9%);59.9
77.;"KataInDream 
EUNE (#77)";Challenger 873 LPWygrane: 70 (66.0%);;6.0%);66.0
78.;"Matixxx 
EUNE (#78)";Challenger 870 LPWygrane: 195 (54.2%);Złoto IWygrane: 9 (60.0%);54.2%);54.2
79.;"DrAponHipakos 
EUNE (#79)";Challenger 868 LPWygrane: 131 (59.3%);Złoto IWygrane: 21 (51.2%);59.3%);59.3
80.;"Yugen 
EUNE (#80)";Challenger 867 LPWygrane: 182 (54.0%);Master 52 LPWygrane: 47 (62.7%);54.0%);54.0
81.;"DafnisK 
EUNE (#81)";Challenger 867 LPWygrane: 141 (55.3%);Master 1 LPWygrane: 40 (54.8%);55.3%);55.3
82.;"lapai che kape 
EUNE (#82)";Challenger 866 LPWygrane: 134 (57.8%);Master 42 LPWygrane: 47 (67.1%);57.8%);57.8
83.;"Bufny 
EUNE (#83)";Challenger 865 LPWygrane: 286 (53.2%);Platyna IWygrane: 26 (55.3%);53.2%);53.2
84.;"cat connoisseur 
EUNE (#84)";Challenger 862 LPWygrane: 133 (58.3%);Platyna IWygrane: 14 (70.0%);58.3%);58.3
85.;"söpö kisu 
EUNE (#85)";Challenger 854 LPWygrane: 110 (53.4%);Złoto IWygrane: 9 (56.3%);53.4%);53.4
86.;"ΑΑΠΤΟΣ 
EUNE (#86)";Challenger 852 LPWygrane: 264 (53.2%);;53.2%);53.2
87.;"EXWHYPAREITRELE 
EUNE (#87)";Challenger 852 LPWygrane: 189 (55.9%);Platyna IVWygrane: 7 (50.0%);55.9%);55.9
88.;"Aureae 
EUNE (#88)";Challenger 852 LPWygrane: 132 (56.4%);Platyna IWygrane: 38 (53.5%);56.4%);56.4
89.;"Endometrium 
EUNE (#89)";Challenger 851 LPWygrane: 355 (55.8%);;55.8%);55.8
90.;"Szafer 
EUNE (#90)";Challenger 851 LPWygrane: 165 (53.7%);Diament IWygrane: 157 (47.7%);53.7%);53.7
91.;"coincidence 
EUNE (#91)";Challenger 850 LPWygrane: 228 (53.0%);Master 295 LPWygrane: 180 (56.1%);53.0%);53.0
92.;"ItsDab 
EUNE (#92)";Challenger 844 LPWygrane: 171 (57.2%);Platyna IWygrane: 27 (46.6%);57.2%);57.2
93.;"LeBronzeGraves 
EUNE (#93)";Challenger 842 LPWygrane: 211 (54.0%);Diament IIWygrane: 93 (57.4%);54.0%);54.0
94.;"nunu hentaí 
EUNE (#94)";Challenger 841 LPWygrane: 235 (52.8%);Diament IIWygrane: 33 (54.1%);52.8%);52.8
95.;"egdfer 
EUNE (#95)";Challenger 841 LPWygrane: 85 (63.4%);;3.4%);63.4
96.;"CiganinsBradva 
EUNE (#96)";Challenger 839 LPWygrane: 216 (52.8%);Srebro IIWygrane: 12 (41.4%);52.8%);52.8
97.;"kocic000 
EUNE (#97)";Challenger 839 LPWygrane: 206 (53.8%);Diament IWygrane: 83 (64.3%);53.8%);53.8
98.;"Babushka02 
EUNE (#98)";Challenger 837 LPWygrane: 120 (57.7%);Platyna IWygrane: 51 (50.5%);57.7%);57.7
99.;"Norox 
EUNE (#99)";Challenger 833 LPWygrane: 170 (54.1%);Diament IWygrane: 20 (51.3%);54.1%);54.1
100.;"going rank 
EUNE (#100)";Challenger 832 LPWygrane: 204 (55.1%);;55.1%);55.1
